Date,Close/Last,Volume
04/06/2020,1997.59,5773181
04/03/2020,1906.59,3609870
04/02/2020,1918.83,4335985
04/01/2020,1907.7,4121875
03/31/2020,1949.72,5123626
03/30/2020,1963.95,6126087
03/27/2020,1900.1,5387897
03/26/2020,1955.49,6235118
03/25/2020,1885.84,6479073
03/24/2020,1940.1,7147080
03/23/2020,1902.83,7808489
03/20/2020,1846.09,9817850
03/19/2020,1880.93,10399940
03/18/2020,1830,9645218
03/17/2020,1807.84,10917130
03/16/2020,1689.15,8917265
03/13/2020,1785,8809725
03/12/2020,1676.61,11346210
03/11/2020,1820.86,5646831
03/10/2020,1891.82,7133310
03/09/2020,1800.61,7813232
03/06/2020,1901.09,5273580
03/05/2020,1924.03,4748210
03/04/2020,1975.83,4772919
03/03/2020,1908.99,7534491
03/02/2020,1953.95,6761651
02/28/2020,1883.75,9493797
02/27/2020,1884.3,8143993
02/26/2020,1979.59,5240402
02/25/2020,1972.74,6219094
02/24/2020,2009.29,6546997
02/21/2020,2095.97,4650740
02/20/2020,2153.1,3131342
02/19/2020,2170.22,2561165
02/18/2020,2155.67,2951070
02/14/2020,2134.87,2606169
02/13/2020,2149.87,3031791
02/12/2020,2160,3334264
02/11/2020,2150.8,5746011
02/10/2020,2133.91,5056235
02/07/2020,2079.28,5095347
02/06/2020,2050.23,3182954
02/05/2020,2039.87,4376174
02/04/2020,2049.67,5289338
02/03/2020,2004.2,5899094
01/31/2020,2008.72,15567280
01/30/2020,1870.68,6327438
01/29/2020,1858,2101390
01/28/2020,1853.25,2808040
01/27/2020,1828.34,3528509
01/24/2020,1861.64,3766181
01/23/2020,1884.58,2484613
01/22/2020,1887.46,3216257
01/21/2020,1892,3707785
01/17/2020,1864.72,3997340
01/16/2020,1877.94,2659493
01/15/2020,1862.02,2896592
01/14/2020,1869.44,3446381
01/13/2020,1891.3,2785844
01/10/2020,1883.16,2856959
01/09/2020,1901.05,3174962
01/08/2020,1891.97,3511966
01/07/2020,1906.86,4134010
01/06/2020,1902.88,4065698
01/03/2020,1874.97,3766604
01/02/2020,1898.01,4035910
12/31/2019,1847.84,2510380
12/30/2019,1846.89,3677306
12/27/2019,1869.8,6188754
12/26/2019,1868.77,6024608
12/24/2019,1789.21,881337
12/23/2019,1793,2137493
12/20/2019,1786.5,5152460
12/19/2019,1792.28,2738320
